"111年度臺灣鯨豚族群調查計畫","2022","07","26","目視調查","121.93710","25.26397","基隆市","種","瓶鼻海豚","瓶鼻海豚","Tursiops spp.","","80-100","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Tursiops","寬吻海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","07","26","目視調查","122.11262","25.52015","基隆市","屬","瓶鼻海豚","瓶鼻海豚","Tursiops spp.","","1","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Tursiops","寬吻海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","07","26","目視調查","122.12775","25.52047","基隆市","屬","瓶鼻海豚","瓶鼻海豚","Tursiops spp.","","20-30","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Tursiops","寬吻海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","07","26","目視調查","122.13806","25.53350","基隆市","屬","瓶鼻海豚","瓶鼻海豚","Tursiops spp.","","3-5","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Tursiops","寬吻海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","07","26","目視調查","122.10949","25.54915","基隆市","種","偽虎鯨","偽虎鯨","Pseudorca crassidens","","5-8","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Pseudorca","偽虎鯨屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","09","目視調查","121.53719","23.48619","花蓮縣","種","長吻飛旋海豚","長吻飛旋海豚","Stenella longirostris","","100-150","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Stenella","原海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","09","目視調查","121.58558","23.49011","花蓮縣","種","侏儒抹香鯨","侏儒抹香鯨","Kogia sima","","2","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Kogiidae","小抹香鯨科","Kogia","小抹香鯨屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","09","目視調查","121.59228","23.49600","花蓮縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","","3-5","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","09","目視調查","121.63288","23.48750","花蓮縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","","10-20","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","09","目視調查","121.66664","23.53506","花蓮縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","",">10","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","09","目視調查","121.66550","23.52192","花蓮縣","科","喙鯨科","喙鯨科","Ziphiidae","","4-5","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Ziphiidae","喙鯨科","",""
"111年度臺灣鯨豚族群調查計畫","2022","08","09","目視調查","121.66136","23.51634","花蓮縣","目","未知鯨豚","未知鯨豚","Unknown","","無法判斷","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","","","",""
"111年度臺灣鯨豚族群調查計畫","2022","08","09","目視調查","121.63553","23.53106","花蓮縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","","70-80","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","09","目視調查","121.57518","23.58043","花蓮縣","目","未知鯨豚","未知鯨豚","Unknown","","1","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","","","",""
"111年度臺灣鯨豚族群調查計畫","2022","08","09","目視調查","121.62494","23.66329","花蓮縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","","10-15","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","09","目視調查","121.71421","23.92043","花蓮縣","種","熱帶斑海豚","熱帶斑海豚","Stenella attenuata","","70-80","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Stenella","原海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","09","目視調查","121.70680","23.93421","花蓮縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","","15-20","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","09","目視調查","121.71073","23.94734","花蓮縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","",">18","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","09","目視調查","121.70842","23.95681","花蓮縣","種","短肢領航鯨","短肢領航鯨","Globicephala macrorhynchus","","20-30","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Globicephala","領航鯨屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.64551","23.94837","花蓮縣","種","長吻飛旋海豚","長吻飛旋海豚","Stenella longirostris","","150-200","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Stenella","原海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.65678","23.93223","花蓮縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","","20-30","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.72714","23.88015","花蓮縣","種","弗氏海豚","弗氏海豚","Lagenodelphis hosei","","200-300","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Lagenodelphis","沙撈越海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.72714","23.88015","花蓮縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","","8-12","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.66135","23.78734","花蓮縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","","20-30","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.66135","23.78734","花蓮縣","種","弗氏海豚","弗氏海豚","Lagenodelphis hosei","","50-100","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Lagenodelphis","沙撈越海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.63709","23.77100","花蓮縣","種","熱帶斑海豚","熱帶斑海豚","Stenella attenuata","","40-50","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Stenella","原海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.60729","23.74672","花蓮縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","","10-12","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.60760","23.74935","花蓮縣","目","未知鯨豚","未知鯨豚","Unknown","","無法判斷","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","","","",""
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.59383","23.71321","花蓮縣","種","長吻飛旋海豚","長吻飛旋海豚","Stenella longirostris","","80-90","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Stenella","原海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.60787","23.73108","花蓮縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","","7-10","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.60014","23.72109","花蓮縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","","15-25","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.59689","23.70364","花蓮縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","","無法判斷","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.61451","23.68666","花蓮縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","","8-10","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.61497","23.68576","花蓮縣","目","未知鯨豚","未知鯨豚","Unknown","","無法判斷","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","","","",""
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.63439","23.67007","花蓮縣","種","侏儒抹香鯨","侏儒抹香鯨","Kogia sima","","3","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Kogiidae","小抹香鯨科","Kogia","小抹香鯨屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","10","目視調查","121.59416","23.54397","花蓮縣","種","長吻飛旋海豚","長吻飛旋海豚","Stenella longirostris","","100-150","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Stenella","原海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","12","目視調查","121.93874","24.53013","宜蘭縣","種","真瓶鼻海豚","真瓶鼻海豚","Tursiops truncatus","","30-40","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Tursiops","寬吻海豚屬"
"111年度臺灣鯨豚族群調查計畫","2022","08","16","目視調查","121.54482","23.49206","臺東縣","種","瑞氏海豚","瑞氏海豚","Grampus griseus","","10-15","隻","Animalia","動物界","Chordata","脊索動物門","Mammalia","哺乳綱","Artiodactyla","偶蹄目","Delphinidae","海豚科","Grampus","灰海豚屬"
